Mediana
R$ 19.0000
R$ 105.3700
R$ 56.0000
R$ 130.7800
R$ 3.2000
R$ 5.4700
R$ 4.7500
R$ 4.8800
R$ 1.3200
R$ 119.8800
R$ 202.0000
R$ 29.9400
R$ 79.9900
R$ 16.0800
R$ 21.5600
R$ 17.6700
R$ 76.3000
R$ 14.2500
R$ 19.0500
R$ 30.9000
R$ 16.9300
R$ 58.4000
R$ 21.9900
R$ 20.2400
R$ 23.0000
R$ 64.0900
R$ 6.2900
R$ 38.9500
R$ 109.9000
R$ 14.8400
R$ 47.8700
R$ 125.9000
R$ 70.2900
R$ 108.6900
R$ 91.0000
R$ 33.6500
R$ 86.4000
R$ 30.1900
R$ 61.7400
R$ 35.0000
R$ 227.0000
R$ 72.9500
R$ 21.9900
R$ 46.9000
R$ 63.2000
R$ 17.9000
R$ 54.9800
R$ 305.0000
R$ 58.7500
R$ 94.0000
R$ 327.5000
R$ 115.0000
R$ 35.9000
R$ 95.0000
R$ 34.5000
R$ 20.0000
R$ 36.6600
R$ 224.7000
R$ 89.5300
R$ 80.9900
R$ 227.9000
R$ 23.4500
R$ 16.8800
R$ 24.9500
R$ 197.4500
R$ 136.5000
R$ 150.3900
R$ 35.0000
R$ 289.0000
R$ 168.0000
R$ 373.4500
R$ 44.5000
R$ 172.6800
R$ 442.2000
R$ 1.288.9800
R$ 354.7400
R$ 535.6000
R$ 110.0000
R$ 45.4600
R$ 169.9500
R$ 42.9500
R$ 9.1500
R$ 17.5750
R$ 28.4300
R$ 46.9000
R$ 50.8000
R$ 259.9000
R$ 6.1200
R$ 10.0600
R$ 300.0000
R$ 45.6500
R$ 22.5600
R$ 17.0000
R$ 26.9900
R$ 26.5000
R$ 61.9900
R$ 4.7000
R$ 34.8800
R$ 25.9900
R$ 141.2300
R$ 104.4000
R$ 149.9500
R$ 421.4400
R$ 170.0000
R$ 255.0000
R$ 175.7500
R$ 33.0000
R$ 62.1000
R$ 74.0000
R$ 121.0000
R$ 157.4400
R$ 9.0000
R$ 245.1900
R$ 165.6000
R$ 111.0000
R$ 14.5300
R$ 22.4400
R$ 19.6400
R$ 35.0000
R$ 52.5300
R$ 37.9900
R$ 56.4400
R$ 12.2000
R$ 32.9900
R$ 182.0000
R$ 152.0000
R$ 629.0000
R$ 10.9000
R$ 283.0900
R$ 150.3900
R$ 19.0000
R$ 29.9200
